0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.00977271350406,-2.01206517567,-9.6285787335,0.373819307857,518.62550177,517.7417796,4.12879169624,-284.124427033,279.99510647,-2.8692600783e-05,-0.00433995320068,0.0193347797775,-0.0112354147614,-0.00809922237924
-0.00875921115993,-2.01519699336,-9.62838159471,0.389669140661,518.624794554,517.740104197,6.17509260866,-285.119451027,278.943829611,-2.8681080105e-05,-0.00436323944505,0.019332451157,-0.0111287804691,-0.00820339626768
-0.00774695885977,-2.01864354154,-9.62817812921,0.404873286999,518.621869213,517.73760523,8.22112488661,-286.103419436,277.881765561,-2.8666070842e-05,-0.00438346041457,0.0193293577819,-0.0110217828364,-0.00830716875431
-0.00673599384009,-2.02240318635,-9.62796834502,0.41950887897,518.617006581,517.734440637,10.266857659,-287.075903787,276.808517213,-2.86469472408e-05,-0.00440007343125,0.0193254997645,-0.0109144267669,-0.00841053504983
-0.00572635399466,-2.02647442675,-9.62775224948,0.433652997689,518.599504154,517.730733961,12.312159928,-288.037203201,275.724514246,-2.86284577462e-05,-0.00441262953258,0.0193208772668,-0.0108067137199,-0.00851349386551
-0.00471807994842,-2.03085589421,-9.62752984928,0.447382666738,518.532291746,517.726578943,14.3570015256,-288.986882061,274.629351597,-2.86249037066e-05,-0.0044207522021,0.0193154904616,-0.0106986408849,-0.00861604818641
-0.00371120993466,-2.03580501483,-9.62730115643,0.46031947113,518.489855548,517.72178117,16.4012502809,-289.925609131,273.523829867,-2.86073223922e-05,-0.00443067382021,0.0193093395715,-0.0105902269569,-0.0087181795487
-0.00270577821887,-2.04141866388,-9.6270661795,0.47232085152,518.465709744,517.71673801,18.4448785282,-290.85243595,272.407028543,-2.85772740146e-05,-0.00443490876825,0.0193024248289,-0.0104814761814,-0.0088198839413
-0.00170182033063,-2.04748304131,-9.62682492625,0.483409240868,518.44649647,517.711221532,20.4877507737,-291.768174702,271.279895075,-2.85410854238e-05,-0.00444033578915,0.0192947465177,-0.0103723888394,-0.00892116137536
-0.000699372534103,-2.05385010298,-9.62657740587,0.493456248102,518.429584181,517.705607943,22.5298427439,-292.672011933,270.141640451,-2.84988912767e-05,-0.00443964076879,0.0192863049299,-0.0102629698411,-0.00902200723463
